date,AMZN_actual,MSFT_actual,AMZN_actual_quantile,MSFT_actual_quantile
1970-07-21T00:00:00Z,-0.019948128361905404,0,0.14278,0.5551
1970-07-22T00:00:00Z,-0.020216987783573614,-0.025077385565578147,0.34206,0.08198
1970-07-23T00:00:00Z,0.003050971680970349,0.002005237713506247,0.49403,0.474
1970-07-24T00:00:00Z,-0.010018927829252178,6.986098831021081e-4,0.36362,0.48415
1970-07-25T00:00:00Z,-0.0026849828310684387,4.188880397357764e-4,0.34211,0.44281
1970-07-26T00:00:00Z,0.008776385589493785,0.006216372846056473,0.73175,0.68629
1970-07-27T00:00:00Z,8.235707340400467e-4,-0.028854217412313865,0.49486,0.00367
1970-07-28T00:00:00Z,0.02442305884739504,0.014976766297119859,0.95716,0.80724
1970-07-29T00:00:00Z,-0.038320067504333366,-0.05083684030128133,0.07562,0.03012
1970-07-30T00:00:00Z,0.01513413565844779,0.0100148506657467,0.74426,0.44261
1970-07-31T00:00:00Z,-0.05599529936162817,-0.011051464373825759,0.06805,0.30727
1970-08-01T00:00:00Z,-0.010485731718476998,-6.916946864832241e-4,0.21337,0.40413
1970-08-02T00:00:00Z,0.014515612915012355,0.020061300296752904,0.83969,0.94496
1970-08-03T00:00:00Z,0.06131114892294498,0.04712099258970781,0.99844,0.96065
1970-08-04T00:00:00Z,0.024635747921825768,0.03138901312815712,0.91119000000000006,0.90253
1970-08-05T00:00:00Z,-0.0032049748202087613,0.0019239307326976984,0.41144,0.60797
1970-08-06T00:00:00Z,-0.05194886560547829,-0.024112823725544352,0.08167,0.10654
1970-08-07T00:00:00Z,-0.035195149900092204,-0.034376948675310715,0.16203,0.05259
1970-08-08T00:00:00Z,0.033173189112233104,0.025915979491843544,0.85188,0.80562
1970-08-09T00:00:00Z,-0.00867844636080406,-0.005139023727577907,0.34147,0.46674
1970-08-10T00:00:00Z,0.00593999580784299,0.004954254871998742,0.56953,0.53064
1970-08-11T00:00:00Z,7.188647861635644e-4,0.0033199689965064394,0.51681,0.56791
1970-08-12T00:00:00Z,0.00146802596809259,-0.012833408223057674,0.44416,0.21891
1970-08-13T00:00:00Z,-0.009677810176640378,-0.01588605541957122,0.28658,0.09924
